Test Method,Test Method.msm,,
Sample I. D.,Material Name and Date.mss,,
Specimen Number,6,,
,,,
Time (min),Load (N),% Compression (%),Crosshead (mil)
,,,
0.001,-0.087,0.02,39.9921
0.002,0.067,0.197,39.9213
0.002,2.108,1.142,39.5433
0.003,2.631,2.126,39.1496
0.003,2.23,2.903,38.8386
0.003,2.402,3.711,38.5158
0.004,2.695,4.547,38.1811
0.004,2.848,5.443,37.8229
0.004,2.8,6.299,37.4803
0.005,2.868,7.146,37.1418
0.005,2.977,8.002,36.7992
0.005,2.931,8.839,36.4646
0.006,3.027,9.675,36.1299
0.006,3.012,10.482,35.8071
0.006,3.093,11.289,35.4843
0.007,3.074,12.077,35.1693
0.007,3.234,12.894,34.8425
0.007,3.309,13.711,34.5158
0.008,3.464,14.537,34.1851
0.008,3.501,15.364,33.8543
0.008,3.652,16.211,33.5158
0.009,3.659,17.037,33.1851
0.009,3.867,17.884,32.8465
0.009,3.896,18.73,32.5079
0.01,4.038,19.577,32.1693
0.01,4.001,20.413,31.8347
0.01,4.224,21.26,31.4961
0.011,4.242,22.096,31.1614
0.011,4.411,22.943,30.8229
0.011,4.321,23.77,30.4921
0.012,4.693,24.616,30.1536
0.012,4.672,25.453,29.8189
0.012,4.965,26.309,29.4764
0.013,4.817,27.136,29.1457
0.013,4.99,27.972,28.811
0.013,5.045,28.789,28.4843
0.014,5.382,29.636,28.1457
0.014,5.2,30.433,27.8268
0.014,5.606,31.27,27.4921
0.015,5.513,32.077,27.1693
0.015,5.952,32.913,26.8347
0.015,5.918,33.74,26.504
0.016,6.318,34.577,26.1693
0.016,6.297,35.404,25.8386
0.016,6.703,36.25,25.5
0.017,6.566,37.077,25.1693
0.017,7.086,37.913,24.8347
0.017,7.005,38.74,24.504
0.018,7.415,39.577,24.1693
0.018,7.35,40.394,23.8425
0.018,7.982,41.23,23.5079
0.019,7.924,42.057,23.1772
0.019,8.619,42.913,22.8347
0.019,8.364,43.75,22.5
0.02,9.061,44.596,22.1614
0.02,8.98,45.423,21.8307
0.02,9.704,46.27,21.4921
0.021,9.504,47.096,21.1614
0.021,10.234,47.933,20.8268
0.021,10.16,48.76,20.4961
0.022,10.916,49.596,20.1614
0.022,10.768,50.413,19.8347
0.022,11.728,51.26,19.4961
0.023,11.758,52.087,19.1654
0.023,12.554,52.933,18.8268
0.023,12.435,53.74,18.5039
0.024,13.545,54.587,18.1654
0.024,13.513,55.404,17.8386
0.024,14.977,56.27,17.4921
0.025,14.446,57.077,17.1693
0.025,16.002,57.933,16.8268
0.025,15.9,58.75,16.5
0.026,17.387,59.606,16.1575
0.026,17.374,60.433,15.8268
0.026,18.756,61.28,15.4882
0.027,18.881,62.106,15.1575
0.027,20.489,62.953,14.8189
0.027,20.82,63.78,14.4882
0.028,22.284,64.626,14.1496
0.028,22.637,65.453,13.8189
0.028,24.765,66.299,13.4803
0.029,24.802,67.106,13.1575
0.029,27.69,67.963,12.815
0.029,27.877,68.789,12.4843
0.03,30.442,69.646,12.1417
0.03,31.124,70.472,11.811
0.03,34.104,71.319,11.4724
0.031,34.741,72.136,11.1457
0.031,37.684,72.972,10.811
0.031,38.88,73.799,10.4803
0.032,42.393,74.636,10.1457
0.032,44.226,75.453,9.8189
0.032,48.246,76.289,9.4843
0.033,50.012,77.106,9.1575
0.033,54.924,77.943,8.8228
0.033,58.434,78.77,8.4921
0.034,64.736,79.616,8.1535
0.034,68.557,80.433,7.8268
0.034,75.037,81.27,7.4921
0.035,80.724,82.087,7.1654
0.035,89.152,82.933,6.8268
0.035,95.633,83.76,6.4961
0.036,104.046,84.587,6.1654
0.036,112.594,85.404,5.8386
0.036,126.757,86.24,5.5039
0.037,140.9,87.057,5.1772
0.037,160.466,87.894,4.8425
0.037,184.984,88.701,4.5197
0.038,213.612,89.547,4.1811
0.038,240.088,90.354,3.8583
0.038,266.062,91.191,3.5236
0.039,293.643,91.998,3.2008
0.039,327.461,92.835,2.8661
0.039,362.567,93.622,2.5512
0.04,404.243,94.449,2.2205
0.04,446.868,95.256,1.8976
0.04,494.46,96.093,1.563
0.041,542.722,96.9,1.2402
0.041,594.397,97.736,0.9055
0.041,645.261,98.543,0.5827
0.042,700.769,99.37,0.252
0.042,755.212,100.167,-0.0669
0.042,814.278,100.994,-0.3976
0.043,873.257,101.791,-0.7165
0.043,935.312,102.608,-1.0433
0.043,996.567,103.396,-1.3583
0.044,1029.396,103.819,-1.5276
0.044,1093.248,104.419,-1.7677
0.044,1089.294,104.38,-1.752
