Test Method,Test Method,,
Sample I. D.,Material and Date,,
Specimen Number,1,,
,,,
Time (min),Load (N),% Compression (%),Crosshead (mil)
,,,
0.001,-0.007,0.394,0.9961
0.002,0.033,0.394,0.9961
0.002,0.013,0.787,0.9921
0.002,0.007,0.787,0.9921
0.003,-0.001,1.181,0.9882
0.003,0.015,1.181,0.9882
0.003,-0.001,1.575,0.9843
0.004,0,1.575,0.9843
0.004,-0.007,1.968,0.9803
0.004,-0.002,2.362,0.9764
0.005,-0.001,2.362,0.9764
0.005,0.004,2.756,0.9724
0.005,0.018,3.15,0.9685
0.006,0.001,3.15,0.9685
0.006,0.004,3.543,0.9646
0.006,-0.002,3.937,0.9606
0.007,-0.005,4.331,0.9567
0.007,-0.001,4.331,0.9567
0.007,0,4.724,0.9528
0.008,-0.002,5.118,0.9488
0.008,0.007,5.118,0.9488
0.008,0.016,5.512,0.9449
0.009,-0.011,5.905,0.9409
0.009,0.007,6.299,0.937
0.009,0.006,6.299,0.937
0.01,0.003,6.693,0.9331
0.01,0.002,7.087,0.9291
0.01,0.002,7.48,0.9252
0.011,0.011,7.48,0.9252
0.011,0.003,7.874,0.9213
0.011,-0.009,8.268,0.9173
0.012,-0.007,8.268,0.9173
0.012,-0.022,8.661,0.9134
0.012,0.003,9.055,0.9094
0.013,-0.006,9.449,0.9055
0.013,-0.006,9.842,0.9016
0.013,0.007,9.842,0.9016
0.014,-0.01,10.236,0.8976
0.014,0.012,10.63,0.8937
0.014,0.011,11.024,0.8898
0.015,0.008,11.417,0.8858
0.015,0,11.417,0.8858
0.015,0,11.811,0.8819
0.016,0,12.205,0.878
0.016,0.009,12.598,0.874
0.016,-0.008,12.992,0.8701
0.017,-0.006,12.992,0.8701
0.017,-0.001,13.386,0.8661
0.017,0.011,13.779,0.8622
0.018,0.014,14.173,0.8583
0.018,-0.001,14.567,0.8543
0.018,0.011,14.567,0.8543
0.019,-0.012,14.961,0.8504
0.019,0.018,15.354,0.8465
0.019,0.003,15.748,0.8425
0.02,-0.001,16.142,0.8386
0.02,-0.011,16.535,0.8346
0.02,0.021,16.535,0.8346
0.021,-0.009,16.929,0.8307
0.021,-0.005,17.323,0.8268
0.021,0.003,17.716,0.8228
0.022,0.005,18.11,0.8189
0.022,-0.005,18.504,0.815
0.022,0.018,18.504,0.815
0.023,0.005,18.898,0.811
0.023,-0.001,19.291,0.8071
0.023,-0.002,19.685,0.8032
0.024,0.001,20.079,0.7992
0.024,-0.008,20.079,0.7992
0.024,0.005,20.472,0.7953
0.025,0.006,20.866,0.7913
0.025,0.011,21.26,0.7874
0.025,0.006,21.654,0.7835
0.026,0.008,21.654,0.7835
0.026,0.028,22.047,0.7795
0.026,0.003,22.441,0.7756
0.027,0.002,22.835,0.7717
0.027,-0.001,23.228,0.7677
0.027,-0.004,23.228,0.7677
0.028,-0.002,23.622,0.7638
0.028,-0.016,24.016,0.7598
0.028,-0.004,24.409,0.7559
0.029,-0.007,24.803,0.752
0.029,0.008,24.803,0.752
0.029,-0.005,25.197,0.748
0.03,-0.018,25.591,0.7441
0.03,0.003,25.984,0.7402
0.03,0.005,26.378,0.7362
0.031,0.002,26.772,0.7323
0.031,0.01,26.772,0.7323
0.031,0.011,27.165,0.7283
0.032,-0.003,27.559,0.7244
0.032,-0.012,27.953,0.7205
0.032,0.004,28.346,0.7165
0.033,-0.018,28.346,0.7165
0.033,0.02,28.74,0.7126
0.033,0,29.134,0.7087
0.034,0.017,29.528,0.7047
0.034,0.021,29.921,0.7008
0.034,-0.002,30.315,0.6969
0.035,0.006,30.315,0.6969
0.035,-0.005,30.709,0.6929
0.035,0.013,31.102,0.689
0.036,-0.002,31.496,0.685
0.036,0.01,31.89,0.6811
0.036,-0.002,32.283,0.6772
0.037,0.011,32.283,0.6772
0.037,0.013,32.677,0.6732
0.037,-0.01,33.071,0.6693
0.038,-0.001,33.465,0.6654
0.038,0.024,33.858,0.6614
0.038,0.018,34.252,0.6575
0.039,0.011,34.252,0.6575
0.039,-0.008,34.646,0.6535
0.039,0.004,35.039,0.6496
0.04,0.005,35.433,0.6457
0.04,0.009,35.827,0.6417
0.04,-0.002,36.22,0.6378
0.041,-0.012,36.22,0.6378
0.041,-0.003,36.614,0.6339
0.041,0.01,37.008,0.6299
0.042,0.013,37.402,0.626
0.042,-0.001,37.795,0.622
0.042,0,38.189,0.6181
0.043,0.001,38.583,0.6142
0.043,-0.001,38.976,0.6102
0.043,0.008,38.976,0.6102
0.044,0.027,39.37,0.6063
0.044,0.007,39.764,0.6024
0.044,0.018,40.157,0.5984
0.045,0.006,40.551,0.5945
0.045,0.001,40.945,0.5906
0.045,0.005,41.339,0.5866
0.046,0.009,41.732,0.5827
0.046,0.002,42.126,0.5787
0.046,0.018,42.126,0.5787
0.047,0.004,42.52,0.5748
0.047,0.011,42.913,0.5709
0.047,-0.001,43.307,0.5669
0.048,0.006,43.701,0.563
0.048,-0.012,44.094,0.5591
0.048,0.007,44.488,0.5551
0.049,0.002,44.882,0.5512
0.049,0.013,45.276,0.5472
0.049,0.007,45.669,0.5433
0.05,0,45.669,0.5433
0.05,0,46.063,0.5394
0.05,0.021,46.457,0.5354
0.051,0.03,46.85,0.5315
0.051,0.011,47.244,0.5276
0.051,0.013,47.638,0.5236
0.052,-0.016,48.031,0.5197
0.052,-0.016,48.425,0.5157
0.052,-0.002,48.425,0.5157
0.053,0.003,48.819,0.5118
0.053,-0.013,49.213,0.5079
0.053,-0.003,49.606,0.5039
0.054,0.014,50,0.5
0.054,-0.021,50.394,0.4961
0.054,0.024,50.787,0.4921
0.055,0.015,50.787,0.4921
0.055,-0.002,51.181,0.4882
0.055,-0.009,51.575,0.4843
0.056,0.013,51.968,0.4803
0.056,0.019,52.362,0.4764
0.056,0.004,52.756,0.4724
0.057,0.002,52.756,0.4724
0.057,0.009,53.15,0.4685
0.057,0.003,53.543,0.4646
0.058,0.006,53.937,0.4606
0.058,0.008,54.331,0.4567
0.058,0.003,54.331,0.4567
0.059,-0.017,54.724,0.4528
0.059,0.007,55.118,0.4488
0.059,0.006,55.512,0.4449
0.06,0.008,55.905,0.4409
0.06,0,56.299,0.437
0.06,-0.008,56.299,0.437
0.061,0.006,56.693,0.4331
0.061,0.002,57.087,0.4291
0.061,0.007,57.48,0.4252
0.062,0.003,57.874,0.4213
0.062,0.003,58.268,0.4173
0.062,0.014,58.268,0.4173
0.063,-0.007,58.661,0.4134
0.063,-0.014,59.055,0.4094
0.063,-0.006,59.449,0.4055
0.064,0.004,59.842,0.4016
0.064,0.008,60.236,0.3976
0.064,0.003,60.236,0.3976
0.065,-0.001,60.63,0.3937
0.065,0.007,61.024,0.3898
0.065,0.013,61.417,0.3858
0.066,0.004,61.811,0.3819
0.066,0.006,62.205,0.378
0.066,-0.007,62.205,0.378
0.067,0.023,62.598,0.374
0.067,0.011,62.992,0.3701
0.067,0.014,63.386,0.3661
0.068,-0.007,63.78,0.3622
0.068,0.02,64.173,0.3583
0.068,0.006,64.173,0.3583
0.069,0,64.567,0.3543
0.069,0.005,64.961,0.3504
0.069,0.012,65.354,0.3465
0.07,0.005,65.748,0.3425
0.07,0.004,66.142,0.3386
0.07,-0.023,66.142,0.3386
0.071,0.004,66.535,0.3346
0.071,-0.015,66.929,0.3307
0.071,0.011,67.323,0.3268
0.072,0.006,67.717,0.3228
0.072,0.005,68.11,0.3189
0.072,-0.001,68.11,0.3189
0.073,0.001,68.504,0.315
0.073,0.009,68.898,0.311
0.073,-0.006,69.291,0.3071
0.074,0.014,69.685,0.3031
0.074,0.016,70.079,0.2992
0.074,0.014,70.472,0.2953
0.075,-0.008,70.472,0.2953
0.075,0.004,70.866,0.2913
0.075,0.008,71.26,0.2874
0.076,0.01,71.654,0.2835
0.076,0.001,72.047,0.2795
0.076,-0.008,72.441,0.2756
0.077,0.006,72.441,0.2756
0.077,-0.006,72.835,0.2717
0.077,0.004,73.228,0.2677
0.078,-0.004,73.622,0.2638
0.078,0.019,74.016,0.2598
0.078,0.012,74.409,0.2559
0.079,-0.014,74.409,0.2559
0.079,0.037,74.803,0.252
0.079,0.009,75.197,0.248
0.08,0.01,75.591,0.2441
0.08,-0.005,75.984,0.2402
0.08,0.001,76.378,0.2362
0.081,-0.001,76.772,0.2323
0.081,0.003,76.772,0.2323
0.081,0.023,77.165,0.2283
0.082,-0.006,77.559,0.2244
0.082,0.02,77.953,0.2205
0.082,0.027,78.346,0.2165
0.083,0.01,78.74,0.2126
0.083,0.018,78.74,0.2126
0.083,0.004,79.134,0.2087
0.084,0.003,79.528,0.2047
0.084,0.03,79.921,0.2008
0.084,-0.001,80.315,0.1969
0.085,0.004,80.315,0.1969
0.085,-0.005,80.709,0.1929
0.085,-0.009,81.102,0.189
0.086,0.004,81.496,0.185
0.086,-0.001,81.89,0.1811
0.086,-0.008,82.283,0.1772
0.087,0.015,82.283,0.1772
0.087,0.01,82.677,0.1732
0.087,0.017,83.071,0.1693
0.088,0.032,83.465,0.1654
0.088,0.043,83.858,0.1614
0.088,0.033,84.252,0.1575
0.089,0.025,84.646,0.1535
0.089,0.023,84.646,0.1535
0.089,0.027,85.039,0.1496
0.09,0.036,85.433,0.1457
0.09,0.032,85.827,0.1417
0.09,0.039,86.22,0.1378
0.091,0.033,86.22,0.1378
0.091,0.016,86.614,0.1339
0.091,0.025,87.008,0.1299
0.092,0.028,87.402,0.126
0.092,0.06,87.795,0.122
0.092,0.05,88.189,0.1181
0.093,0.04,88.189,0.1181
0.093,0.063,88.583,0.1142
0.093,0.072,88.976,0.1102
0.094,0.071,89.37,0.1063
0.094,0.049,89.764,0.1024
0.094,0.057,89.764,0.1024
0.095,0.061,90.157,0.0984
0.095,0.058,90.551,0.0945
0.095,0.068,90.945,0.0906
0.096,0.046,91.339,0.0866
0.096,0.064,91.732,0.0827
0.096,0.042,91.732,0.0827
0.097,0.056,92.126,0.0787
0.097,0.066,92.52,0.0748
0.097,0.085,92.913,0.0709
0.098,0.057,93.307,0.0669
0.098,0.069,93.701,0.063
0.098,0.043,93.701,0.063
0.099,0.051,94.094,0.0591
0.099,0.087,94.488,0.0551
0.099,0.094,94.882,0.0512
0.1,0.071,95.276,0.0472
0.1,0.067,95.669,0.0433
0.1,0.083,95.669,0.0433
0.101,0.104,96.063,0.0394
0.101,0.134,96.457,0.0354
0.101,0.087,96.85,0.0315
0.102,0.093,97.244,0.0276
0.102,0.064,97.244,0.0276
0.102,0.072,97.638,0.0236
0.103,0.129,98.031,0.0197
0.103,0.14,98.425,0.0157
0.103,0.164,98.819,0.0118
0.104,0.179,99.213,0.0079
0.104,0.229,99.606,0.0039
0.104,0.278,99.606,0.0039
0.105,0.402,100,0
0.105,0.409,100.394,-0.0039
0.105,0.537,100.787,-0.0079
0.106,0.658,101.181,-0.0118
0.106,0.741,101.575,-0.0157
0.106,1.039,101.969,-0.0197
0.107,1.314,101.969,-0.0197
0.107,1.677,102.362,-0.0236
0.107,2.131,102.756,-0.0276
0.108,2.438,103.15,-0.0315
0.108,2.769,103.543,-0.0354
0.108,3.104,103.937,-0.0394
0.109,3.52,104.331,-0.0433
0.109,4.231,104.331,-0.0433
0.109,4.7,104.724,-0.0472
0.11,5.381,105.118,-0.0512
0.11,5.938,105.512,-0.0551
0.11,6.344,105.906,-0.0591
0.111,6.819,106.299,-0.063
0.111,7.481,106.693,-0.0669
0.111,8.051,107.087,-0.0709
0.112,8.712,107.087,-0.0709
0.112,9.431,107.48,-0.0748
0.112,10.34,107.874,-0.0787
0.113,10.743,108.268,-0.0827
0.113,11.413,108.661,-0.0866
0.113,12.164,109.055,-0.0906
0.114,12.673,109.449,-0.0945
0.114,13.668,109.843,-0.0984
0.114,13.986,110.236,-0.1024
0.115,14.871,110.63,-0.1063
0.115,15.592,110.63,-0.1063
0.115,16.364,111.024,-0.1102
0.116,17.116,111.417,-0.1142
0.116,17.789,111.811,-0.1181
0.116,18.576,112.205,-0.122
0.117,19.097,111.811,-0.1181
0.117,22.398,113.386,-0.1339
0.117,23.09,113.386,-0.1339
0.118,23.072,113.78,-0.1378
0.118,24.146,114.173,-0.1417
0.118,24.81,114.567,-0.1457
0.119,25.445,114.567,-0.1457
0.119,26.348,114.961,-0.1496
0.119,26.84,115.354,-0.1535
0.12,27.718,115.748,-0.1575
0.12,28.079,116.142,-0.1614
0.12,28.918,116.535,-0.1654
0.121,29.643,116.535,-0.1654
0.121,30.445,116.929,-0.1693
0.121,31.394,117.323,-0.1732
0.122,31.745,117.717,-0.1772
0.122,32.355,118.11,-0.1811
0.122,33.089,118.11,-0.1811
0.123,33.888,118.504,-0.185
0.123,34.716,118.898,-0.189
0.123,35.371,119.291,-0.1929
0.124,35.885,119.685,-0.1969
0.124,36.57,120.079,-0.2008
0.124,37.352,120.079,-0.2008
0.125,38.263,120.472,-0.2047
0.125,38.876,120.866,-0.2087
0.125,39.253,121.26,-0.2126
0.126,40.244,121.654,-0.2165
0.126,40.842,122.047,-0.2205
0.126,41.633,122.441,-0.2244
0.127,42.215,122.441,-0.2244
0.127,43.202,122.835,-0.2283
0.127,43.94,123.228,-0.2323
0.128,44.344,123.622,-0.2362
0.128,45.398,124.016,-0.2402
0.128,45.783,124.016,-0.2402
0.129,46.755,124.409,-0.2441
0.129,47.724,124.803,-0.248
0.129,48.052,125.197,-0.252
0.13,48.982,125.591,-0.2559
0.13,49.371,125.984,-0.2598
0.13,50.269,125.984,-0.2598
0.131,51.275,126.378,-0.2638
0.131,51.889,126.772,-0.2677
0.131,52.579,127.165,-0.2717
0.132,53.065,127.559,-0.2756
0.132,53.825,127.559,-0.2756
0.132,54.774,127.953,-0.2795
0.133,55.489,128.346,-0.2835
0.133,56.244,128.74,-0.2874
0.133,56.821,129.134,-0.2913
0.134,57.496,129.528,-0.2953
0.134,58.248,129.528,-0.2953
0.134,59.071,129.921,-0.2992
0.135,59.967,130.315,-0.3031
0.135,60.452,130.709,-0.3071
0.135,61.144,131.102,-0.311
0.136,61.817,131.496,-0.315
0.136,62.661,131.496,-0.315
0.136,63.431,131.89,-0.3189
0.137,64.104,132.283,-0.3228
0.137,64.848,132.677,-0.3268
0.137,65.39,133.071,-0.3307
0.138,66.273,133.465,-0.3346
0.138,66.901,133.465,-0.3346
0.138,67.746,133.858,-0.3386
0.139,68.618,134.252,-0.3425
0.139,69.182,134.646,-0.3465
0.139,69.786,135.039,-0.3504
0.14,70.464,135.039,-0.3504
0.14,71.286,135.433,-0.3543
0.14,72.294,135.827,-0.3583
0.141,72.537,136.22,-0.3622
0.141,73.24,136.614,-0.3661
0.141,73.964,137.008,-0.3701
0.142,74.671,137.008,-0.3701
0.142,75.539,137.402,-0.374
0.142,76.278,137.795,-0.378
0.143,77.169,138.189,-0.3819
0.143,77.611,138.583,-0.3858
0.143,78.261,138.976,-0.3898
0.144,79.187,138.976,-0.3898
0.144,79.915,139.37,-0.3937
0.144,80.842,139.764,-0.3976
0.145,81.434,140.158,-0.4016
0.145,81.896,140.551,-0.4055
0.145,82.691,140.945,-0.4094
0.146,83.354,140.945,-0.4094
0.146,84.174,141.339,-0.4134
0.146,84.977,141.732,-0.4173
0.147,85.635,142.126,-0.4213
0.147,86.263,142.52,-0.4252
0.147,86.95,142.913,-0.4291
0.148,87.595,142.913,-0.4291
0.148,88.495,143.307,-0.4331
0.148,89.359,143.701,-0.437
0.149,89.958,144.095,-0.4409
0.149,90.593,144.488,-0.4449
0.149,91.107,144.882,-0.4488
0.15,91.914,144.882,-0.4488
0.15,92.817,145.276,-0.4528
0.15,93.594,145.669,-0.4567
0.151,94.08,146.063,-0.4606
0.151,94.67,146.457,-0.4646
0.151,95.371,146.457,-0.4646
0.152,96.203,146.85,-0.4685
0.152,97.112,147.244,-0.4724
0.152,97.688,147.638,-0.4764
0.153,98.306,148.032,-0.4803
0.153,98.847,148.425,-0.4843
0.153,99.647,148.425,-0.4843
0.154,100.443,148.819,-0.4882
0.154,101.266,149.213,-0.4921
0.154,101.795,149.606,-0.4961
0.155,102.364,150,-0.5
0.155,103.028,150.394,-0.5039
0.155,103.927,150.394,-0.5039
0.156,104.575,150.787,-0.5079
0.156,105.352,151.181,-0.5118
0.156,106.074,151.575,-0.5157
0.157,106.399,151.969,-0.5197
0.157,107.149,151.969,-0.5197
0.157,107.919,152.362,-0.5236
0.158,108.752,152.756,-0.5276
0.158,109.351,153.15,-0.5315
0.158,109.802,153.543,-0.5354
0.159,110.609,153.937,-0.5394
0.159,111.218,153.937,-0.5394
0.159,111.945,154.331,-0.5433
0.16,112.903,154.724,-0.5472
0.16,113.253,155.118,-0.5512
0.16,113.928,155.512,-0.5551
0.161,114.579,155.512,-0.5551
0.161,115.422,155.906,-0.5591
0.161,116.271,156.299,-0.563
0.162,116.823,156.693,-0.5669
0.162,117.465,157.087,-0.5709
0.162,117.973,157.48,-0.5748
0.163,118.831,157.48,-0.5748
0.163,119.615,157.874,-0.5787
